path,language,bytes
xv6-public-project03/asm.h,h,754
xv6-public-project03/bio.c,c,3397
xv6-public-project03/bootmain.c,c,2253
xv6-public-project03/buf.h,h,326
xv6-public-project03/cat.c,c,589
xv6-public-project03/console.c,c,5384
xv6-public-project03/date.h,h,102
xv6-public-project03/defs.h,h,5814
xv6-public-project03/echo.c,c,198
xv6-public-project03/elf.h,h,755
xv6-public-project03/exec.c,c,2725
xv6-public-project03/fcntl.h,h,96
xv6-public-project03/file.c,c,2816
xv6-public-project03/file.h,h,802
xv6-public-project03/forktest.c,c,764
xv6-public-project03/fs.c,c,15787
xv6-public-project03/fs.h,h,1733
xv6-public-project03/grep.c,c,1954
xv6-public-project03/hello_thread.c,c,136
xv6-public-project03/ide.c,c,3613
xv6-public-project03/init.c,c,649
xv6-public-project03/ioapic.c,c,2047
xv6-public-project03/kalloc.c,c,2160
xv6-public-project03/kbd.c,c,925
xv6-public-project03/kbd.h,h,3535
xv6-public-project03/kill.c,c,232
xv6-public-project03/lapic.c,c,6098
xv6-public-project03/ln.c,c,264
xv6-public-project03/log.c,c,5654
xv6-public-project03/ls.c,c,1525
xv6-public-project03/main.c,c,3264
xv6-public-project03/memide.c,c,1231
xv6-public-project03/memlayout.h,h,667
xv6-public-project03/mkdir.c,c,327
xv6-public-project03/mkfs.c,c,6140
xv6-public-project03/mmu.h,h,6571
xv6-public-project03/mp.c,c,3161
xv6-public-project03/mp.h,h,2146
xv6-public-project03/my_userapp.c,c,230
xv6-public-project03/param.h,h,760
xv6-public-project03/picirq.c,c,426
xv6-public-project03/pipe.c,c,2411
xv6-public-project03/prac_syscall.c,c,315
xv6-public-project03/printf.c,c,1472
xv6-public-project03/proc.c,c,15375
xv6-public-project03/proc.h,h,2435
xv6-public-project03/rm.c,c,322
xv6-public-project03/sh.c,c,8240
xv6-public-project03/sleeplock.c,c,812
xv6-public-project03/sleeplock.h,h,265
xv6-public-project03/spinlock.c,c,2791
xv6-public-project03/spinlock.h,h,315
xv6-public-project03/stat.h,h,294
xv6-public-project03/stressfs.c,c,1028
xv6-public-project03/string.c,c,1441
xv6-public-project03/syscall.c,c,3752
xv6-public-project03/syscall.h,h,595
xv6-public-project03/sysfile.c,c,7377
xv6-public-project03/sysproc.c,c,1687
xv6-public-project03/thread_exec.c,c,729
xv6-public-project03/thread_exit.c,c,648
xv6-public-project03/thread_kill.c,c,648
xv6-public-project03/thread_test.c,c,3169
xv6-public-project03/trap.c,c,2657
xv6-public-project03/traps.h,h,1548
xv6-public-project03/types.h,h,131
xv6-public-project03/uart.c,c,1288
xv6-public-project03/ulib.c,c,1280
xv6-public-project03/umalloc.c,c,1652
xv6-public-project03/user.h,h,1071
xv6-public-project03/vm.c,c,9918
xv6-public-project03/wc.c,c,820
xv6-public-project03/x86.h,h,3269
xv6-public-project03/zombie.c,c,214
xv6-public-project04/asm.h,h,754
xv6-public-project04/bio.c,c,3397
xv6-public-project04/bootmain.c,c,2253
xv6-public-project04/buf.h,h,326
xv6-public-project04/cat.c,c,589
xv6-public-project04/console.c,c,5384
xv6-public-project04/date.h,h,102
xv6-public-project04/defs.h,h,5798
xv6-public-project04/echo.c,c,198
xv6-public-project04/elf.h,h,755
xv6-public-project04/exec.c,c,2563
xv6-public-project04/fcntl.h,h,96
xv6-public-project04/file.c,c,2816
xv6-public-project04/file.h,h,802
xv6-public-project04/forktest.c,c,764
xv6-public-project04/fs.c,c,15787
xv6-public-project04/fs.h,h,1733
xv6-public-project04/grep.c,c,1954
xv6-public-project04/ide.c,c,3613
xv6-public-project04/init.c,c,649
xv6-public-project04/ioapic.c,c,2047
xv6-public-project04/kalloc.c,c,2834
xv6-public-project04/kbd.c,c,925
xv6-public-project04/kbd.h,h,3535
xv6-public-project04/kill.c,c,232
xv6-public-project04/lapic.c,c,6098
xv6-public-project04/ln.c,c,264
xv6-public-project04/log.c,c,5654
xv6-public-project04/ls.c,c,1525
xv6-public-project04/main.c,c,3264
xv6-public-project04/memide.c,c,1231
xv6-public-project04/memlayout.h,h,667
xv6-public-project04/mkdir.c,c,327
xv6-public-project04/mkfs.c,c,6140
xv6-public-project04/mmu.h,h,6571
xv6-public-project04/mp.c,c,3161
xv6-public-project04/mp.h,h,2146
xv6-public-project04/param.h,h,760
xv6-public-project04/picirq.c,c,426
xv6-public-project04/pipe.c,c,2411
xv6-public-project04/printf.c,c,1472
xv6-public-project04/proc.c,c,11717
xv6-public-project04/proc.h,h,2270
xv6-public-project04/rm.c,c,322
xv6-public-project04/sh.c,c,8240
xv6-public-project04/sleeplock.c,c,812
xv6-public-project04/sleeplock.h,h,265
xv6-public-project04/spinlock.c,c,2791
xv6-public-project04/spinlock.h,h,315
xv6-public-project04/stat.h,h,294
xv6-public-project04/stressfs.c,c,1028
xv6-public-project04/string.c,c,1441
xv6-public-project04/syscall.c,c,3701
xv6-public-project04/syscall.h,h,577
xv6-public-project04/sysfile.c,c,7377
xv6-public-project04/sysproc.c,c,1284
xv6-public-project04/test0.c,c,563
xv6-public-project04/test1.c,c,441
xv6-public-project04/test2.c,c,478
xv6-public-project04/test3.c,c,792
xv6-public-project04/trap.c,c,2719
xv6-public-project04/traps.h,h,1548
xv6-public-project04/types.h,h,110
xv6-public-project04/uart.c,c,1288
xv6-public-project04/ulib.c,c,1280
xv6-public-project04/umalloc.c,c,1652
xv6-public-project04/user.h,h,999
xv6-public-project04/vm.c,c,11277
xv6-public-project04/wc.c,c,820
xv6-public-project04/x86.h,h,3269
xv6-public-project04/zombie.c,c,214
